"school_name","no_of_players","decade"
"Fordham University","1","1861-1870"
"Brown University","4","1871-1880"
"Yale University","6","1881-1890"
"College of the Holy Cross","12","1891-1900"
"College of the Holy Cross","14","1901-1910"
"St. Mary's College of California","11","1911-1920"
"University of Alabama","15","1921-1930"
"Duke University","12","1931-1940"
"University of Southern California","8","1941-1950"
"University of Southern California","10","1951-1960"
"University of Southern California","16","1961-1970"
"Arizona State University","30","1971-1980"
"Arizona State University","22","1981-1990"
"Stanford University","21","1991-2000"
"California State University Long Beach","24","2001-2010"
"University of Florida","3","2011-2020"
