"debut","avg_weight","avg_height","decade","decade_avg_weight","decade_avg_height"
1871,"157","68","1871-1880","166","69"
1872,"166","69","1871-1880","166","69"
1873,"160","69","1871-1880","166","69"
1874,"162","68","1871-1880","166","69"
1875,"165","69","1871-1880","166","69"
1876,"166","69","1871-1880","166","69"
1877,"168","69","1871-1880","166","69"
1878,"173","70","1871-1880","166","69"
1879,"169","69","1871-1880","166","69"
1880,"170","70","1871-1880","166","69"
1881,"173","69","1881-1890","170","70"
1882,"169","69","1881-1890","170","70"
1883,"172","70","1881-1890","170","70"
1884,"167","69","1881-1890","170","70"
1885,"174","70","1881-1890","170","70"
1886,"168","70","1881-1890","170","70"
1887,"166","70","1881-1890","170","70"
1888,"171","70","1881-1890","170","70"
1889,"169","70","1881-1890","170","70"
1890,"170","70","1881-1890","170","70"
1891,"170","70","1891-1900","171","70"
1892,"167","70","1891-1900","171","70"
1893,"173","70","1891-1900","171","70"
1894,"166","69","1891-1900","171","70"
1895,"170","70","1891-1900","171","70"
1896,"170","70","1891-1900","171","70"
1897,"174","70","1891-1900","171","70"
1898,"173","70","1891-1900","171","70"
1899,"170","70","1891-1900","171","70"
1900,"175","72","1891-1900","171","70"
1901,"173","70","1901-1910","174","71"
1902,"174","70","1901-1910","174","71"
1903,"172","70","1901-1910","174","71"
1904,"171","70","1901-1910","174","71"
1905,"177","71","1901-1910","174","71"
1906,"175","71","1901-1910","174","71"
1907,"173","71","1901-1910","174","71"
1908,"174","71","1901-1910","174","71"
1909,"177","71","1901-1910","174","71"
1910,"172","71","1901-1910","174","71"
1911,"172","71","1911-1920","172","71"
1912,"171","71","1911-1920","172","71"
1913,"173","71","1911-1920","172","71"
1914,"171","71","1911-1920","172","71"
1915,"173","71","1911-1920","172","71"
1916,"169","70","1911-1920","172","71"
1917,"170","71","1911-1920","172","71"
1918,"173","71","1911-1920","172","71"
1919,"172","71","1911-1920","172","71"
1920,"172","71","1911-1920","172","71"
1921,"169","71","1921-1930","174","71"
1922,"174","71","1921-1930","174","71"
1923,"174","71","1921-1930","174","71"
1924,"173","71","1921-1930","174","71"
1925,"172","71","1921-1930","174","71"
1926,"173","71","1921-1930","174","71"
1927,"172","71","1921-1930","174","71"
1928,"177","71","1921-1930","174","71"
1929,"175","71","1921-1930","174","71"
1930,"177","71","1921-1930","174","71"
1931,"177","71","1931-1940","179","72"
1932,"176","72","1931-1940","179","72"
1933,"180","72","1931-1940","179","72"
1934,"180","72","1931-1940","179","72"
1935,"178","72","1931-1940","179","72"
1936,"180","72","1931-1940","179","72"
1937,"180","72","1931-1940","179","72"
1938,"178","72","1931-1940","179","72"
1939,"181","72","1931-1940","179","72"
1940,"183","72","1931-1940","179","72"
1941,"184","72","1941-1950","183","72"
1942,"183","72","1941-1950","183","72"
1943,"182","72","1941-1950","183","72"
1944,"181","72","1941-1950","183","72"
1945,"180","72","1941-1950","183","72"
1946,"183","72","1941-1950","183","72"
1947,"182","72","1941-1950","183","72"
1948,"183","72","1941-1950","183","72"
1949,"184","72","1941-1950","183","72"
1950,"184","73","1941-1950","183","72"
1951,"182","72","1951-1960","185","72"
1952,"185","72","1951-1960","185","72"
1953,"184","72","1951-1960","185","72"
1954,"183","72","1951-1960","185","72"
1955,"184","72","1951-1960","185","72"
1956,"184","72","1951-1960","185","72"
1957,"186","73","1951-1960","185","72"
1958,"186","72","1951-1960","185","72"
1959,"188","73","1951-1960","185","72"
1960,"187","73","1951-1960","185","72"
1961,"185","73","1961-1970","186","73"
1962,"185","73","1961-1970","186","73"
1963,"185","73","1961-1970","186","73"
1964,"184","73","1961-1970","186","73"
1965,"184","73","1961-1970","186","73"
1966,"188","73","1961-1970","186","73"
1967,"186","73","1961-1970","186","73"
1968,"189","73","1961-1970","186","73"
1969,"187","73","1961-1970","186","73"
1970,"188","73","1961-1970","186","73"
1971,"184","73","1971-1980","186","73"
1972,"184","73","1971-1980","186","73"
1973,"185","73","1971-1980","186","73"
1974,"185","73","1971-1980","186","73"
1975,"186","73","1971-1980","186","73"
1976,"188","73","1971-1980","186","73"
1977,"187","73","1971-1980","186","73"
1978,"186","73","1971-1980","186","73"
1979,"187","73","1971-1980","186","73"
1980,"187","73","1971-1980","186","73"
1981,"186","73","1981-1990","188","73"
1982,"189","74","1981-1990","188","73"
1983,"190","73","1981-1990","188","73"
1984,"187","73","1981-1990","188","73"
1985,"187","73","1981-1990","188","73"
1986,"187","73","1981-1990","188","73"
1987,"185","73","1981-1990","188","73"
1988,"191","74","1981-1990","188","73"
1989,"188","73","1981-1990","188","73"
1990,"188","73","1981-1990","188","73"
1991,"192","73","1991-2000","195","74"
1992,"191","73","1991-2000","195","74"
1993,"193","74","1991-2000","195","74"
1994,"193","74","1991-2000","195","74"
1995,"192","73","1991-2000","195","74"
1996,"196","74","1991-2000","195","74"
1997,"195","73","1991-2000","195","74"
1998,"198","74","1991-2000","195","74"
1999,"199","74","1991-2000","195","74"
2000,"199","74","1991-2000","195","74"
2001,"202","73","2001-2010","207","74"
2002,"206","74","2001-2010","207","74"
2003,"201","74","2001-2010","207","74"
2004,"205","74","2001-2010","207","74"
2005,"210","74","2001-2010","207","74"
2006,"208","74","2001-2010","207","74"
2007,"209","74","2001-2010","207","74"
2008,"207","73","2001-2010","207","74"
2009,"210","74","2001-2010","207","74"
2010,"211","74","2001-2010","207","74"
2011,"208","73","2011-2020","207","74"
2012,"207","74","2011-2020","207","74"
2013,"208","74","2011-2020","207","74"
2014,"203","74","2011-2020","207","74"
